url,source,http_status,final_url,is_redirect,redirect_type,is_error,notes,associated_campaigns,total_historical_spend,total_historical_clicks
http://naturesseed.com/product/alpaca-llama-pasture-forage-mix/,ad_copy,200,https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,True,301,False,Redirect chain: 301:http://naturesseed.com/product/alpaca-llama-pasture-forage-mix/ -> 301:https://naturesseed.com/product/alpaca-llama-pasture-forage-mix/ -> 301:https://naturesseed.com/products/pasture-seeds/alpaca-llama-pasture-forage-mix/ -> 200:https://naturesseed.com/products/pasture-seed/alpaca-llama-pasture-forage-mix/,Search | Pasture Seed (Broad) | ROAS,18.74,4
https://naturesseed.com/grass-seed/,ad_copy,200,https://naturesseed.com/products/grass-seed/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/ -> 200:https://naturesseed.com/products/grass-seed/,Search | Lawn Seed,1130.27,1832
https://naturesseed.com/grass-seed/bermuda-grass/bermudagrass-seed-blend,ad_copy,200,https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/bermuda-grass/bermudagrass-seed-blend -> 301:https://naturesseed.com/products/grass-seeds/bermudagrass-seed-blend/ -> 200:https://naturesseed.com/products/grass-seed/bermudagrass-seed-blend/,Search | Lawn Seed,98.10,201
https://naturesseed.com/grass-seed/clover-seeds-lawn-additive/microclover/,ad_copy,200,https://naturesseed.com/products/clover-seed/microclover/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/clover-seeds-lawn-additive/microclover/ -> 301:https://naturesseed.com/products/grass-seeds/microclover -> 200:https://naturesseed.com/products/clover-seed/microclover/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,5139.99,2615
https://naturesseed.com/grass-seed/clover-seeds-lawn-additive/white-dutch-clover/,ad_copy,200,https://naturesseed.com/products/clover-seed/white-dutch-clover/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/clover-seeds-lawn-additive/white-dutch-clover/ -> 200:https://naturesseed.com/products/clover-seed/white-dutch-clover/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS; Search | Animal Seed (Broad) | ROAS,2802.62,1921
https://naturesseed.com/grass-seed/fescue-grass/triple-play-tall-fescue-seed-blend,ad_copy,200,https://naturesseed.com/products/grass-seed/triblade-elite-fescue-lawn-mix/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/fescue-grass/triple-play-tall-fescue-seed-blend -> 301:https://naturesseed.com/products/grass-seeds/triblade-elite-fescue-lawn-mix/ -> 200:https://naturesseed.com/products/grass-seed/triblade-elite-fescue-lawn-mix/,Search | Lawn Seed,354.78,390
https://naturesseed.com/grass-seed/kentucky-bluegrass/kentucky-bluegrass-seed-blue-ribbon-mix,ad_copy,200,https://naturesseed.com/products/grass-seed/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/kentucky-bluegrass/kentucky-bluegrass-seed-blue-ribbon-mix -> 301:https://naturesseed.com/grass-seed/kentucky-bluegrass/ -> 200:https://naturesseed.com/products/grass-seed/,Search | Lawn Seed,312.61,413
https://naturesseed.com/grass-seed/kentucky-bluegrass/northeast-seed-mix,ad_copy,200,https://naturesseed.com/products/grass-seed/northeast-lawn/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/kentucky-bluegrass/northeast-seed-mix -> 301:https://naturesseed.com/grass-seed/northeast-lawn/ -> 200:https://naturesseed.com/products/grass-seed/northeast-lawn/,Search | Lawn Seed,75.54,123
https://naturesseed.com/grass-seed/perennial-ryegrass/perennial-ryegrass-seed-blend,ad_copy,200,https://naturesseed.com/products/pasture-seed/perennial-ryegrass/,True,301,False,Redirect chain: 301:https://naturesseed.com/grass-seed/perennial-ryegrass/perennial-ryegrass-seed-blend -> 301:https://naturesseed.com/products/grass-seeds/perennial-ryegrass-seed-blend/ -> 301:https://naturesseed.com/products/pasture-seed/perennial-ryegrass -> 200:https://naturesseed.com/products/pasture-seed/perennial-ryegrass/,Search | Lawn Seed,134.40,158
https://naturesseed.com/pasture-seed/,ad_copy,200,https://naturesseed.com/products/pasture-seed/,True,301,False,Redirect chain: 301:https://naturesseed.com/pasture-seed/ -> 200:https://naturesseed.com/products/pasture-seed/,Search | Categories (Top) | ROAS; Search | Pasture Seed (Broad) | ROAS,12902.96,9502
