content_id,title,url,rule_name,severity,snippet,suggested_action
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DeadInternalLinkRule,critical,https://naturesseed.com/grass-seed/kentucky-bluegrass/,Fix or remove broken internal link to https://naturesseed.com/grass-seed/kentucky-bluegrass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DeadInternalLinkRule,critical,https://naturesseed.com/grass-seed/perennial-ryegrass/,Fix or remove broken internal link to https://naturesseed.com/grass-seed/perennial-ryegrass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DeadInternalLinkRule,critical,https://naturesseed.com/grass-seed/fescue-grass/,Fix or remove broken internal link to https://naturesseed.com/grass-seed/fescue-grass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DeadInternalLinkRule,critical,https://naturesseed.com/pasture-seed/individual-pasture-species/bahia-grass/,Fix or remove broken internal link to https://naturesseed.com/pasture-seed/individual-pasture-species/bahia-grass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DeadInternalLinkRule,critical,https://naturesseed.com/grass-seed/bermuda-grass/,Fix or remove broken internal link to https://naturesseed.com/grass-seed/bermuda-grass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DeadInternalLinkRule,critical,https://naturesseed.com/pasture-seed/individual-pasture-species/indiangrass/,Fix or remove broken internal link to https://naturesseed.com/pasture-seed/individual-pasture-species/indiangrass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DeadInternalLinkRule,critical,https://naturesseed.com/pasture-seed/,Fix or remove broken internal link to https://naturesseed.com/pasture-seed/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"...eason pasture seed such as Bahiagrass , Bermuda grass , and Indiangrass is great for warm, dry climates like the Southwest, or hot,...",Replace mention of 'indiangrass' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,".... Match the seed to livestock needs Cattle, horses, sheep, goats, and other livestock all have diverse needs when it comes t...",Replace mention of 'oats' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"... cold to moderate climates, and warm-season grasses such as Bermudagrass in hot climates.",Replace mention of 'products-pasture-seed-bermudagrass' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"...e weather becomes too hot. Warm-season pasture seed such as Bahiagrass , Bermuda grass , and Indiangrass is great for warm, dry cl...",Replace mention of 'bahia-grass-seeds' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"...on nutrient-rich grasses and legumes, such as orchardgrass, alfalfa, and clover. That being said, despite having different dige...",Replace mention of 'alfalfa-seeds' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"...attle do best on nutrient-rich grasses and legumes, such as orchardgrass, alfalfa, and clover. That being said, despite having diffe...",Replace mention of 'orchardgrass-seeds' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"as kentucky bluegrass ,",Replace mention of 'kentucky-bluegrass' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,as bermudagrass,Replace mention of 'common-bermudagrass' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"bahiagrass ,",Replace mention of 'bahia-grass' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,", ryegrass",Replace mention of 'annual-ryegrass' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,"bluegrass ,",Replace mention of 'sandberg-bluegrass' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,or fescue,Replace mention of 'zorro-fescue' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,DiscontinuedProductRule,critical,", bermuda grass ,",Replace mention of 'bremuda-grass-seed-blend' with a currently-sold product or remove section
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,MissingProductCardRule,warning,"as kentucky bluegrass ,",Add a product card or CTA linking to https://naturesseed.com/products/grass-seed/water-wise-bluegrass-blend/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,MissingProductCardRule,warning,"as kentucky bluegrass , ryegrass ,",Add a product card or CTA linking to https://naturesseed.com/products/grass-seed/kentucky-bluegrass-seed-blue-ribbon-mix/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,MissingProductCardRule,warning,"...arm-season pasture timing Cool-season pasture seed, such as Kentucky Bluegrass , Ryegrass , and fescues , are common in regions with cold ...",Add a product card or CTA linking to https://naturesseed.com/products/pasture-seed/kentucky-bluegrass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,MissingProductCardRule,warning,", ryegrass",Add a product card or CTA linking to https://naturesseed.com/products/pasture-seed/perennial-ryegrass/
1,"How to Overseed Pasture Seed for a Healthier, More Productive Field",https://naturesseed.com/?p=444495,SchemaGapRule,info,No <h1> tag found,Add an H1 heading that includes the target keyword
